EmployeeID,MonthlyIncome,PercentSalaryHike,StockOptionLevel
1,5993,11,0
2,5130,23,1
4,2090,15,0
5,2909,11,0
7,3468,12,1
8,3068,13,0
10,2670,20,3
11,2693,22,1
12,9526,21,0
13,5237,13,2
14,2426,13,1
15,4193,12,0
16,2911,17,1
18,2661,11,1
19,2028,14,0
20,9980,11,1
21,3298,12,2
22,2935,13,2
23,15427,16,0
24,3944,11,0
26,4011,18,1
27,3407,23,0
28,11994,11,0
30,1232,14,0
31,2960,11,0
32,19094,11,1
33,3919,22,0
35,6825,11,1
36,10248,14,1
38,18947,12,0
39,2496,11,0
40,6465,13,0
41,2206,13,0
42,2086,14,1
45,2293,16,1
46,2645,12,2
47,2683,14,0
49,2014,13,0
51,3419,14,1
52,5376,19,2
53,1951,12,1
54,2341,13,1
55,2293,12,0
56,8726,15,0
57,4011,23,0
58,19545,12,0
60,4568,20,0
61,3022,21,0
62,5772,21,0
63,2269,19,0
64,5381,13,0
65,3441,13,0
68,5454,21,1
70,9884,13,1
72,4157,19,1
73,13458,12,0
74,9069,22,1
75,4014,15,1
76,5915,22,1
77,5993,18,1
78,6162,22,1
79,2406,11,0
80,18740,12,1
81,7637,11,0
83,10096,13,3
84,14756,14,3
85,6499,13,0
86,9724,17,1
88,2194,13,1
90,3388,17,1
91,5473,11,0
94,2703,23,1
95,2501,17,0
96,6220,17,2
97,3038,12,0
98,4424,23,0
100,4312,14,0
101,13245,14,0
102,13664,13,0
103,5021,22,1
104,5126,12,2
105,2859,18,0
106,10239,14,1
107,5329,12,3
110,4325,15,0
112,7260,11,0
113,2322,13,1
116,2075,23,2
117,4152,19,3
118,9619,16,0
119,13503,22,1
120,5441,22,0
121,5209,12,3
124,10673,13,1
125,5010,16,0
126,13549,12,1
128,4999,21,1
129,4221,15,0
131,13872,13,0
132,2042,12,1
133,2073,22,0
134,2956,13,0
137,2926,18,0
138,4809,14,0
139,5163,14,1
140,18844,21,1
141,18172,19,0
142,5744,11,0
143,2889,11,2
144,2871,15,0
145,7484,20,0
147,6074,24,0
148,17328,12,0
150,2774,12,1
151,4505,15,1
152,7428,12,0
153,11631,12,0
154,9738,14,1
155,2835,22,1
158,16959,12,2
159,2613,25,3
160,6146,13,1
161,4963,18,3
162,19537,13,0
163,6172,18,0
164,2368,19,0
165,10312,12,1
167,1675,19,0
169,2523,14,1
170,6567,14,0
171,4739,12,0
174,9208,11,0
175,4559,11,1
176,8189,13,1
177,2942,23,1
178,4941,20,2
179,10650,15,0
182,5902,14,1
183,8639,18,0
184,6347,19,0
190,4200,22,0
192,3452,13,0
193,4317,20,0
194,2632,14,0
195,4668,17,3
197,3204,14,1
198,2720,13,0
199,17181,13,1
200,2238,21,1
201,1483,14,0
202,5605,11,1
204,7295,13,2
205,2306,20,1
206,2348,18,1
207,8998,14,0
208,4319,13,1
211,6132,17,0
214,3346,20,1
215,10855,11,1
216,2231,18,1
217,2323,24,2
218,2024,18,1
221,2713,11,1
223,9439,16,1
224,2566,15,1
226,19926,15,0
227,2451,12,1
228,9419,12,1
230,8686,22,0
231,3038,20,0
233,3058,16,1
235,2325,21,0
238,2088,12,0
239,3072,11,2
240,5006,11,1
241,4257,18,1
242,2500,14,0
243,1102,22,0
244,10453,25,3
245,2288,12,0
246,3929,23,1
247,2311,15,0
248,3140,22,0
249,3690,15,1
250,4450,11,2
252,2756,13,1
253,19033,14,1
254,18722,11,0
256,9547,17,0
258,13734,18,0
259,19999,14,1
260,2279,16,0
261,5916,13,0
262,2089,14,3
264,16792,23,1
267,3564,12,1
269,4425,11,0
270,5265,16,1
271,6553,14,0
273,6261,18,1
274,4298,19,1
275,6804,15,2
277,3815,17,1
281,2741,15,1
282,6673,19,0
283,7639,22,3
284,2328,16,1
286,2153,13,0
287,4876,14,1
288,9396,16,1
291,10400,11,0
292,8474,22,0
293,9981,14,0
296,12490,16,2
297,2657,11,0
298,13591,18,0
299,6696,15,0
300,2058,14,0
302,8865,12,0
303,5940,14,1
304,5914,16,0
305,2622,21,0
